id,transaction_date,user_id,order_id,product_id,campaign_id,quantity,net,tax,gross
1,2026-01-31 21:25:27,32,2,11,8,1,6.99,1.61,8.60
2,2025-12-22 17:09:04,42,3,3,6,1,18.99,4.37,23.36
3,2025-12-22 17:09:04,42,3,10,7,1,24.99,5.75,30.74
4,2026-03-17 18:56:49,59,4,9,,2,31.98,7.36,39.34
5,2026-03-17 18:56:49,59,4,4,7,1,16.49,3.79,20.28
6,2026-03-17 18:56:49,59,4,2,,1,12.99,2.99,15.98
7,2026-03-25 22:30:04,79,5,2,,2,25.98,5.98,31.96
8,2026-04-26 10:35:03,191,6,10,2,3,74.97,17.24,92.21
9,2026-04-26 10:35:03,191,6,14,1,1,5.99,1.38,7.37
10,2026-04-26 10:35:03,191,6,10,,1,24.99,5.75,30.74
11,2026-04-26 10:35:03,191,6,3,,1,18.99,4.37,23.36
12,2026-01-03 09:48:17,285,7,10,1,1,24.99,5.75,30.74
13,2026-01-03 09:48:17,285,7,11,,2,13.98,3.22,17.20
14,2025-12-26 13:00:11,159,8,14,2,1,5.99,1.38,7.37
15,2025-10-24 19:33:13,16,9,7,,1,79.99,18.40,98.39
16,2025-10-24 19:33:13,16,9,12,2,1,11.99,2.76,14.75
17,2025-10-24 19:33:13,16,9,3,2,1,18.99,4.37,23.36
18,2026-02-02 17:28:26,218,10,5,6,1,10.99,2.53,13.52
19,2026-02-02 17:28:26,218,10,5,5,1,10.99,2.53,13.52
20,2026-03-03 08:00:13,203,11,5,5,3,32.97,7.58,40.55
21,2025-10-02 15:47:27,62,12,3,4,1,18.99,4.37,23.36
22,2025-10-02 15:47:27,62,12,14,7,1,5.99,1.38,7.37
23,2025-10-02 15:47:27,62,12,1,2,1,8.99,2.07,11.06
24,2025-10-02 15:47:27,62,12,10,7,1,24.99,5.75,30.74
25,2025-10-06 13:10:51,208,13,10,6,1,24.99,5.75,30.74
26,2025-12-02 14:37:25,55,14,9,6,1,15.99,3.68,19.67
27,2025-10-20 16:40:07,87,15,9,6,1,15.99,3.68,19.67
28,2025-10-20 16:40:07,87,15,14,,1,5.99,1.38,7.37
29,2025-11-20 10:38:09,132,16,13,,2,26.98,6.21,33.19
30,2025-11-20 10:38:09,132,16,11,8,1,6.99,1.61,8.60
31,2025-11-20 10:38:09,132,16,15,6,1,21.99,5.06,27.05
32,2025-11-20 10:38:09,132,16,11,8,1,6.99,1.61,8.60
33,2025-11-20 10:38:09,132,16,5,6,2,21.98,5.06,27.04
34,2025-11-20 10:38:09,132,16,5,,1,10.99,2.53,13.52
35,2025-11-20 10:38:09,132,16,5,2,1,10.99,2.53,13.52
36,2025-11-20 10:38:09,132,16,9,1,1,15.99,3.68,19.67
37,2025-11-20 10:38:09,132,16,13,,1,13.49,3.10,16.59
38,2025-11-20 10:38:09,132,16,9,,1,15.99,3.68,19.67
39,2026-04-01 09:32:41,176,17,3,8,1,18.99,4.37,23.36
40,2026-04-01 09:32:41,176,17,10,5,1,24.99,5.75,30.74
41,2026-04-01 09:32:41,176,17,13,6,1,13.49,3.10,16.59
42,2026-02-20 18:24:18,49,18,5,3,2,21.98,5.06,27.04
43,2026-03-19 10:58:22,299,19,5,7,3,32.97,7.58,40.55
44,2025-12-19 16:24:41,44,20,13,,1,13.49,3.10,16.59
45,2025-12-19 16:24:41,44,20,12,2,3,35.97,8.27,44.24
46,2025-12-19 16:24:41,44,20,7,,1,79.99,18.40,98.39
47,2025-12-27 20:31:12,110,21,4,,3,49.47,11.38,60.85
48,2026-02-07 20:34:53,52,22,12,,2,23.98,5.52,29.50
49,2026-03-02 14:09:10,68,23,3,3,2,37.98,8.74,46.72
50,2026-03-02 14:09:10,68,23,1,4,1,8.99,2.07,11.06
51,2026-03-02 14:09:10,68,23,10,8,1,24.99,5.75,30.74
52,2025-12-19 20:50:30,123,24,15,8,2,43.98,10.12,54.10
53,2025-12-19 20:50:30,123,24,5,7,2,21.98,5.06,27.04
54,2025-12-19 20:50:30,123,24,14,5,1,5.99,1.38,7.37
55,2026-01-04 16:59:06,247,25,12,5,2,23.98,5.52,29.50
56,2025-12-09 15:57:32,83,26,3,,2,37.98,8.74,46.72
57,2025-12-09 15:57:32,83,26,14,,1,5.99,1.38,7.37
58,2026-01-10 16:23:15,28,27,7,1,3,239.97,55.19,295.16
59,2026-04-01 18:21:50,51,28,3,,1,18.99,4.37,23.36
60,2026-04-01 18:21:50,51,28,12,8,2,23.98,5.52,29.50
61,2026-04-01 18:21:50,51,28,1,,2,17.98,4.14,22.12
62,2026-02-18 19:38:33,77,29,7,,1,79.99,18.40,98.39
63,2025-12-01 14:40:50,25,30,10,,1,24.99,5.75,30.74
64,2025-12-01 14:40:50,25,30,10,4,1,24.99,5.75,30.74
65,2025-12-01 14:40:50,25,30,5,4,1,10.99,2.53,13.52
66,2025-12-01 14:40:50,25,30,3,,1,18.99,4.37,23.36
67,2025-12-01 14:40:50,25,30,2,1,3,38.97,8.96,47.93
68,2025-12-01 14:40:50,25,30,8,6,1,14.99,3.45,18.44
69,2025-12-31 20:04:22,9,31,4,6,2,32.98,7.59,40.57
70,2026-02-17 13:52:41,181,32,3,8,2,37.98,8.74,46.72
71,2026-02-17 13:52:41,181,32,13,8,1,13.49,3.10,16.59
72,2025-10-12 20:12:56,104,33,1,,1,8.99,2.07,11.06
73,2025-10-12 20:12:56,104,33,14,,1,5.99,1.38,7.37
74,2025-10-12 20:12:56,104,33,4,1,1,16.49,3.79,20.28
75,2025-10-12 20:12:56,104,33,6,7,1,29.99,6.90,36.89
76,2025-10-12 20:12:56,104,33,12,6,1,11.99,2.76,14.75
77,2025-10-12 20:12:56,104,33,8,5,1,14.99,3.45,18.44
78,2025-10-12 20:12:56,104,33,12,3,1,11.99,2.76,14.75
79,2025-10-12 20:12:56,104,33,6,,1,29.99,6.90,36.89
